CT_Infectious,CT_PCR
,
,
,
0.214925374,
0.158805971,
0.137313433,
0.108059702,
0.069850747,
0.077611941,
0.092537314,
0.074626866,
0.059701493,
0.101492538,
0.143880597,0
0.066054801,0
0.119402986,0
0.233432837,0
0.191044777,
0.194029851,4854.858969
0.164179105,4854.858969
0.056716418,16909.28039
0.032728893,16909.28039
0.101492538,16909.28039
0.117014926,16909.28039
0.110447762,28586.43724
0.158208956,28586.43724
0.107462687,49489.99469
0.066268657,49489.99469
0.075223881,49489.99469
0.050746269,49489.99469
0.015522388,49489.99469
0.029253732,68818.00059
0.124179105,68818.00059
0.173731344,68818.00059
0.179701493,68818.00059
0.201087102,
0.332537314,
0.48955224,
0.47002005,62443.47052
0.525284029,62443.47052
0.544940968,62443.47052
0.65965694,62443.47052
0.935308532,
0.871811095,
0.831641792,
0.696119403,
0.405925597,
0.522174204,
0.549146804,
0.48635331,
0.520383161,
0.397291158,
0.331022501,998997.693
0.405863222,998997.693
0.403582091,998997.693
0.388656718,998997.693
0.355223882,
0.149253733,
0.071427936,
0.164179105,25453.08779
0.24477612,25453.08779
0.200000001,25453.08779
0.137206505,25453.08779
0.101492538,
0.117014926,
0.110447762,
0.098507463,146110.0208
0.051343284,146110.0208
0.017910448,146110.0208
0.035820896,146110.0208
0.050746269,
0.014925373,
0.030447761,
0.104477613,20325.97407
0.062686568,20325.97407
0.059701493,20325.97407
0.116417911,20325.97407
0.086567165,
0.093134329,
0.04477612,
0.006567164,26954.79651
0.072238807,26954.79651
0.080597016,26954.79651
0.096716419,26954.79651
0.113432837,
0.057313433,
0.093731344,
0.143283583,53088.75162
0.14019158,53088.75162
0.226865673,53088.75162
0.217910449,53088.75162
0.208955225,
0.296716419,
0.166950323,
0.173134329,28282.73546
0.277611941,28282.73546
0.194029851,28282.73546
0.202985075,28282.73546
0.167164179,
0.00119403,
0.005970149,
0.131343284,0
0.131343284,0
0.131343284,0
0.143283582,0
0.08358209,
0.000597015,
0.002985075,
0.125373134,
0.12238806,
0.116417911,
0.113432836,0
0.041791045,0
0,0
0,0
0.059701493,
0.056716418,
0.050746269,
0.041791045,0
0,0
0,0
0,0
0,
0,
0,
0,0
0,0
0,0
0,0
0,
0,
0,
0,0
0,0
0,0
0,0
0,
0,
0,
0,0
0,0
0,0
0,0
0,
0,
0,
0,
0,0
0,0
0,0
0,0
0,
0,
0,0
0,0
0,0
0,0
0,
0,
0,
0,0
0,0
0,0
0,0
0,
0,
0,
0,0
0,0
0,0
0,0
0,
0,
0,
0,0
0,0
0,0
0,0
0,
0,
0,
0,0
0,0
0,0
0,0
0,
0,
0,
0,0
0,0
0.00119403,0
0.005970149,0
0.012537313,
0.020895522,
0.03641791,
0.071641791,26828.20874
0.104477612,26828.20874
0.039402985,26828.20874
0.060298508,26828.20874
0.158208955,
0.170149254,
0.185074627,
0.185074628,45386.50794
0.182089554,45386.50794
0.140298509,45386.50794
0.053624416,45386.50794
0.101492538,
0.116417911,
0.108656717,
0.098507463,59400.99605
0.053731344,59400.99605
0.017910448,59400.99605
0.029850746,59400.99605
0.059701493,
0.08358209,
0.000597015,
0.00358209,
0.128358209,
0.128358209,
0.125373134,
0.128358209,47948.17682
0.071641792,47948.17682
0.04238806,47948.17682
0.006460236,47948.17682
0.068656717,
0.131343285,
0.1319403,
0.140895523,
0.122388061,
0.056716418,
0.026758744,
0.104477613,25556.29331
0.188059703,25556.29331
0.149850747,25556.29331
0.09899755,25556.29331
0.111044777,
0.135522389,
0.144477613,
0.164776121,26106.74573
0.161194031,26106.74573
0.125373135,26106.74573
0.145564714,26106.74573
0.233325908,
0.263069727,
0.265243931,
0.349636891,53013.2442
0.471641792,53013.2442
0.534328359,53013.2442
0.322388061,53013.2442
0.202557363,
0.313325908,
0.32835821,
0.319402986,54493.45773
0.274626866,54493.45773
0.152238807,54493.45773
0.098507463,54493.45773
0.050746269,
0.041791045,
0,
0,19635.78876
0,19635.78876
0,19635.78876
0.000597015,19635.78876
0.002985075,
0.005970149,
0.008955224,
0.014925373,0
0.029850747,0
0.041791045,0
0,0
0,
0.059701493,
0.056716418,
0.051343284,0
0.04477612,0
0.005970149,0
0.008955224,0
0.014925373,
0.029850747,
0.041791045,
0,0
0,0
0.059701493,0
0.056716418,0
0.050746269,
0.041791045,
0,
0,
0,
0,
0.001791045,
0.008955224,
0.017910448,
0.026865672,
0.04477612,
0.089552239,
0.126567164,
0.005970149,23180.98768
0.013134328,23180.98768
0.20358209,23180.98768
0.214925374,23180.98768
0.237014926,
0.254925373,
0.093134328,
0.146865672,
0.217910448,
0.224263756,
0.391044776,
0.391044777,
0.250318557,
0.316204055,
0.307952774,26071.33675
0.319402986,26071.33675
0.307462687,26071.33675
0.200000001,26071.33675
0.16716418,
0.12835821,
0.092537314,
0.041791045,
0,
0.059701493,
0.056716418,
0.051940299,
0.048358209,
0.014925373,
0.023880597,74736.69286
0.039402985,74736.69286
0.07880597,74736.69286
0.125373135,74736.69286
0.062686568,
0.038592114,
0.179104478,
0.274626866,
0.241791045,
0.140084652,
0.101492538,
0.176119403,
0.164179105,
0.143283582,
0.08358209,
0,
0,
0,
0,
